OBJECTID_1,FID_LIMITE_JURISDICCIONES,JURISD,Area_ha,FID_ZRU_VF,OBJECTID,Zonificaci,Area_ha,Shape__Area,Shape__Length
1,1,CAR,14737.89852567,1,1,Preservación,11574.73668311,115747366.844727,557702.019741804
2,1,CAR,14737.89852567,2,2,Zona en tránsito a la reconversión y sustitución,2964.44597857,29644459.7480469,519161.763894628
3,1,CAR,14737.89852567,4,3,Restauración,198.7158019,1987157.98535156,109419.650035263
4,2,CORPOCHIVOR,6004.24165229,1,1,Preservación,4620.16775269,46201677.6328125,425727.220109611
5,2,CORPOCHIVOR,6004.24165229,2,2,Zona en tránsito a la reconversión y sustitución,1095.48500498,10954850.0576172,295219.74042466
6,2,CORPOCHIVOR,6004.24165229,4,3,Restauración,288.58888624,2885888.82519531,122698.864602852
7,3,CORPOBOYACA,3868.91775423,1,1,Preservación,3136.75119431,31367511.8662109,214086.903023554
8,3,CORPOBOYACA,3868.91775423,2,2,Zona en tránsito a la reconversión y sustitución,68.18905216,681890.467773438,31690.8762887372
9,3,CORPOBOYACA,3868.91775423,3,8,Uso público,28.0857607,280857.649414063,28141.2257546122
10,3,CORPOBOYACA,3868.91775423,4,3,Restauración,635.89176473,6358917.71484375,204276.119840808
